IndicatorType	reportingperiod	orgunit	orgnunituid	mech_code	partner	operatingunit	psnu	indicator	sex	age	population	otherdisaggregate	numdenom	val
Custom	FY21 Q3	Nicoadala	MLWfwGSAExm	18280	FHI360	Mozambique	Nicoadala	PrEP_NEW_VERIFY			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	11
Custom	FY21 Q3	Nicoadala	MLWfwGSAExm	18280	FHI360	Mozambique	Nicoadala	PrEP_SCREEN			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	20
Custom	FY21 Q3	Nicoadala	MLWfwGSAExm	18280	FHI360	Mozambique	Nicoadala	TX_NEW_VERIFY			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	13
Custom	FY21 Q3	Pemba	ekAcXW11CZ1	18280	FHI360	Mozambique	Pemba	TX_NEW_VERIFY			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	9
Custom	FY21 Q3	Tete	tKTswBE0Hyj	18280	FHI360	Mozambique	Tete	TX_NEW_VERIFY			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	25
Custom	FY21 Q3	Tete	tKTswBE0Hyj	18280	FHI360	Mozambique	Tete	TX_NEW_VERIFY			Men who have sex with men (MSM)	Site Support Type: PEPFAR supported	Numerator	8
Custom	FY21 Q3	Tete	tKTswBE0Hyj	18280	FHI360	Mozambique	Tete	TX_NEW_VERIFY			People in prisons and other closed settings	Site Support Type: PEPFAR supported	Numerator	6
Custom	FY21 Q3	Vanduzi	ve5fI4S4kCI	18280	FHI360	Mozambique	Vanduzi	PrEP_NEW_VERIFY			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	12
Custom	FY21 Q3	Vanduzi	ve5fI4S4kCI	18280	FHI360	Mozambique	Vanduzi	PrEP_SCREEN			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	12
Custom	FY21 Q3	Vanduzi	ve5fI4S4kCI	18280	FHI360	Mozambique	Vanduzi	TX_NEW_VERIFY			Female sex workers (FSW)	Site Support Type: PEPFAR supported	Numerator	10
