Partner,Province,District,Health Facility,DATIM_code,SISMA_code,Type,Period,attribute,value,indicator
ARIEL,Cabo Delgado,Ancuabe,Ntutupue CS,j2k93SJevE1,1020208,ER_P2,2021-04-20,TX_CURTot,881,TX_CURR
ARIEL,Cabo Delgado,Ancuabe,Ntutupue CS,j2k93SJevE1,1020208,ER_P2,2021-04-20,TPT_candidates,607,TPT Candidates
ARIEL,Cabo Delgado,Ancuabe,Ntutupue CS,j2k93SJevE1,1020208,ER_P2,2021-04-20,TPT_ineligible,14,TPT Ineligible
ARIEL,Cabo Delgado,Balama,Balama CS II,mDNJnXJ3Bap,1020306,ER_P2,2021-04-20,TX_CURR_TPT_Com,476,TPT Completed
ARIEL,Cabo Delgado,Balama,Balama CS II,mDNJnXJ3Bap,1020306,ER_P2,2021-04-20,TX_CURR_TB_tto,27,Recent Active TB TX
ARIEL,Cabo Delgado,Balama,Balama CS II,mDNJnXJ3Bap,1020306,ER_P2,2021-04-20,TX_CURR_TPT_Not_Comp_POS_Screen,4,Recent Pos TB Screen
ARIEL,Cabo Delgado,Balama,Balama CS II,mDNJnXJ3Bap,1020306,ER_P2,2021-04-20,TX_CURR_W_TPT_last7Mo,202,Actively on TPT
ARIEL,Cabo Delgado,Balama,Balama CS II,mDNJnXJ3Bap,1020306,ER_P2,2021-04-20,TX_CURTot,1327,TX_CURR
ARIEL,Cabo Delgado,Balama,Balama CS II,mDNJnXJ3Bap,1020306,ER_P2,2021-04-20,TPT_candidates,618,TPT Candidates
ARIEL,Cabo Delgado,Balama,Balama CS II,mDNJnXJ3Bap,1020306,ER_P2,2021-04-20,TPT_ineligible,31,TPT Ineligible
ARIEL,Cabo Delgado,Chiure,Chiúre CS I,m8FGZ1tP0UE,1020406,ER_P2,2021-04-20,TX_CURR_TPT_Com,2321,TPT Completed
ARIEL,Cabo Delgado,Chiure,Chiúre CS I,m8FGZ1tP0UE,1020406,ER_P2,2021-04-20,TX_CURR_TB_tto,114,Recent Active TB TX
ARIEL,Cabo Delgado,Chiure,Chiúre CS I,m8FGZ1tP0UE,1020406,ER_P2,2021-04-20,TX_CURR_TPT_Not_Comp_POS_Screen,16,Recent Pos TB Screen
ARIEL,Cabo Delgado,Chiure,Chiúre CS I,m8FGZ1tP0UE,1020406,ER_P2,2021-04-20,TX_CURR_W_TPT_last7Mo,1642,Actively on TPT
ARIEL,Cabo Delgado,Chiure,Chiúre CS I,m8FGZ1tP0UE,1020406,ER_P2,2021-04-20,TX_CURTot,7564,TX_CURR
ARIEL,Cabo Delgado,Chiure,Chiúre CS I,m8FGZ1tP0UE,1020406,ER_P2,2021-04-20,TPT_candidates,3471,TPT Candidates
ARIEL,Cabo Delgado,Chiure,Chiúre CS I,m8FGZ1tP0UE,1020406,ER_P2,2021-04-20,TPT_ineligible,130,TPT Ineligible
ARIEL,Cabo Delgado,Chiure,Chiúre-Velho CS II,tMpwPcDzIfU,1020407,ER_P3,2021-04-20,TX_CURR_TPT_Com,176,TPT Completed
ARIEL,Cabo Delgado,Chiure,Chiúre-Velho CS II,tMpwPcDzIfU,1020407,ER_P3,2021-04-20,TX_CURR_TB_tto,14,Recent Active TB TX
ARIEL,Cabo Delgado,Chiure,Chiúre-Velho CS II,tMpwPcDzIfU,1020407,ER_P3,2021-04-20,TX_CURR_TPT_Not_Comp_POS_Screen,4,Recent Pos TB Screen
ARIEL,Cabo Delgado,Chiure,Chiúre-Velho CS II,tMpwPcDzIfU,1020407,ER_P3,2021-04-20,TX_CURR_W_TPT_last7Mo,75,Actively on TPT
ARIEL,Cabo Delgado,Chiure,Chiúre-Velho CS II,tMpwPcDzIfU,1020407,ER_P3,2021-04-20,TX_CURTot,669,TX_CURR
ARIEL,Cabo Delgado,Chiure,Chiúre-Velho CS II,tMpwPcDzIfU,1020407,ER_P3,2021-04-20,TPT_candidates,400,TPT Candidates
ARIEL,Cabo Delgado,Chiure,Chiúre-Velho CS II,tMpwPcDzIfU,1020407,ER_P3,2021-04-20,TPT_ineligible,18,TPT Ineligible
ARIEL,Cabo Delgado,Chiure,Nacoto CS,GSWPAgMxhy2,1020415,ER_P2,2021-04-20,TX_CURR_TPT_Com,365,TPT Completed
ARIEL,Cabo Delgado,Chiure,Nacoto CS,GSWPAgMxhy2,1020415,ER_P2,2021-04-20,TX_CURR_TB_tto,9,Recent Active TB TX
ARIEL,Cabo Delgado,Chiure,Nacoto CS,GSWPAgMxhy2,1020415,ER_P2,2021-04-20,TX_CURR_TPT_Not_Comp_POS_Screen,2,Recent Pos TB Screen
ARIEL,Cabo Delgado,Chiure,Nacoto CS,GSWPAgMxhy2,1020415,ER_P2,2021-04-20,TX_CURR_W_TPT_last7Mo,144,Actively on TPT
ARIEL,Cabo Delgado,Chiure,Nacoto CS,GSWPAgMxhy2,1020415,ER_P2,2021-04-20,TX_CURTot,858,TX_CURR
ARIEL,Cabo Delgado,Chiure,Nacoto CS,GSWPAgMxhy2,1020415,ER_P2,2021-04-20,TPT_candidates,338,TPT Candidates
ARIEL,Cabo Delgado,Chiure,Nacoto CS,GSWPAgMxhy2,1020415,ER_P2,2021-04-20,TPT_ineligible,11,TPT Ineligible
ARIEL,Cabo Delgado,Chiure,Namugelia CS,FPkj0JvlmyK,1020413,ER_P3,2021-04-20,TX_CURR_TPT_Com,130,TPT Completed
ARIEL,Cabo Delgado,Chiure,Namugelia CS,FPkj0JvlmyK,1020413,ER_P3,2021-04-20,TX_CURR_TB_tto,7,Recent Active TB TX
ARIEL,Cabo Delgado,Chiure,Namugelia CS,FPkj0JvlmyK,1020413,ER_P3,2021-04-20,TX_CURR_TPT_Not_Comp_POS_Screen,3,Recent Pos TB Screen
ARIEL,Cabo Delgado,Chiure,Namugelia CS,FPkj0JvlmyK,1020413,ER_P3,2021-04-20,TX_CURR_W_TPT_last7Mo,108,Actively on TPT
ARIEL,Cabo Delgado,Chiure,Namugelia CS,FPkj0JvlmyK,1020413,ER_P3,2021-04-20,TX_CURTot,403,TX_CURR
ARIEL,Cabo Delgado,Chiure,Namugelia CS,FPkj0JvlmyK,1020413,ER_P3,2021-04-20,TPT_candidates,155,TPT Candidates
ARIEL,Cabo Delgado,Chiure,Namugelia CS,FPkj0JvlmyK,1020413,ER_P3,2021-04-20,TPT_ineligible,10,TPT Ineligible
ARIEL,Cabo Delgado,Chiure,Ocúa CS III,hoSu28MRYPv,1020411,ER_P2,2021-04-20,TX_CURR_TPT_Com,334,TPT Completed
ARIEL,Cabo Delgado,Chiure,Ocúa CS III,hoSu28MRYPv,1020411,ER_P2,2021-04-20,TX_CURR_TB_tto,64,Recent Active TB TX
ARIEL,Cabo Delgado,Chiure,Ocúa CS III,hoSu28MRYPv,1020411,ER_P2,2021-04-20,TX_CURR_TPT_Not_Comp_POS_Screen,6,Recent Pos TB Screen
ARIEL,Cabo Delgado,Chiure,Ocúa CS III,hoSu28MRYPv,1020411,ER_P2,2021-04-20,TX_CURR_W_TPT_last7Mo,327,Actively on TPT
ARIEL,Cabo Delgado,Chiure,Ocúa CS III,hoSu28MRYPv,1020411,ER_P2,2021-04-20,TX_CURTot,1855,TX_CURR
ARIEL,Cabo Delgado,Chiure,Ocúa CS III,hoSu28MRYPv,1020411,ER_P2,2021-04-20,TPT_candidates,1124,TPT Candidates
ARIEL,Cabo Delgado,Chiure,Ocúa CS III,hoSu28MRYPv,1020411,ER_P2,2021-04-20,TPT_ineligible,70,TPT Ineligible
