Partner,Province,District,Health Facility,DATIM_code,SISMA_code,Type,Period,attribute,value,indicator
ARIEL,Cabo Delgado,Ancuabe,Ancuabe CS I,TzPwGs1AcCL,1020206,ER_P2,2021-05-20,TX_CURR,1668,TX_CURR
ARIEL,Cabo Delgado,Ancuabe,Ancuabe CS I,TzPwGs1AcCL,1020206,ER_P2,2021-05-20,TX_CURR_TPT_Com,437,TPT Completed
ARIEL,Cabo Delgado,Ancuabe,Ancuabe CS I,TzPwGs1AcCL,1020206,ER_P2,2021-05-20,TX_CURR_TB_tto,26,Recent Active TB TX
ARIEL,Cabo Delgado,Ancuabe,Ancuabe CS I,TzPwGs1AcCL,1020206,ER_P2,2021-05-20,TX_CURR_TPT_Not_Comp_POS_Screen,8,Recent Pos TB Screen
ARIEL,Cabo Delgado,Ancuabe,Ancuabe CS I,TzPwGs1AcCL,1020206,ER_P2,2021-05-20,TX_CURR_W_TPT_last7Mo,302,Actively on TPT
ARIEL,Cabo Delgado,Ancuabe,Ancuabe CS I,TzPwGs1AcCL,1020206,ER_P2,2021-05-20,TPT_candidates,895,TPT Candidates
ARIEL,Cabo Delgado,Ancuabe,Ancuabe CS I,TzPwGs1AcCL,1020206,ER_P2,2021-05-20,TPT_ineligible,34,TPT Ineligible
ARIEL,Cabo Delgado,Ancuabe,Mariri PS,qHaaYvuNGIB,1020207,ER_P3,2021-05-20,TX_CURR,786,TX_CURR
ARIEL,Cabo Delgado,Ancuabe,Mariri PS,qHaaYvuNGIB,1020207,ER_P3,2021-05-20,TX_CURR_TPT_Com,154,TPT Completed
ARIEL,Cabo Delgado,Ancuabe,Mariri PS,qHaaYvuNGIB,1020207,ER_P3,2021-05-20,TX_CURR_TB_tto,7,Recent Active TB TX
ARIEL,Cabo Delgado,Ancuabe,Mariri PS,qHaaYvuNGIB,1020207,ER_P3,2021-05-20,TX_CURR_TPT_Not_Comp_POS_Screen,2,Recent Pos TB Screen
ARIEL,Cabo Delgado,Ancuabe,Mariri PS,qHaaYvuNGIB,1020207,ER_P3,2021-05-20,TX_CURR_W_TPT_last7Mo,131,Actively on TPT
ARIEL,Cabo Delgado,Ancuabe,Mariri PS,qHaaYvuNGIB,1020207,ER_P3,2021-05-20,TPT_candidates,492,TPT Candidates
ARIEL,Cabo Delgado,Ancuabe,Mariri PS,qHaaYvuNGIB,1020207,ER_P3,2021-05-20,TPT_ineligible,9,TPT Ineligible
ARIEL,Cabo Delgado,Ancuabe,Metoro CS III,CoySgwRgeRE,1020209,ER_P2,2021-05-20,TX_CURR,2255,TX_CURR
ARIEL,Cabo Delgado,Ancuabe,Metoro CS III,CoySgwRgeRE,1020209,ER_P2,2021-05-20,TX_CURR_TPT_Com,574,TPT Completed
ARIEL,Cabo Delgado,Ancuabe,Metoro CS III,CoySgwRgeRE,1020209,ER_P2,2021-05-20,TX_CURR_TB_tto,53,Recent Active TB TX
ARIEL,Cabo Delgado,Ancuabe,Metoro CS III,CoySgwRgeRE,1020209,ER_P2,2021-05-20,TX_CURR_TPT_Not_Comp_POS_Screen,8,Recent Pos TB Screen
ARIEL,Cabo Delgado,Ancuabe,Metoro CS III,CoySgwRgeRE,1020209,ER_P2,2021-05-20,TX_CURR_W_TPT_last7Mo,415,Actively on TPT
